t,x[0],x[1],x[2],x[3],x[4],x[5]
0.001,-1821889.1684978283,-5428727.400584101,4114917.5508444286,-2636.4967927898874,-3681.581014362554,-6004.1579100404515
0.006,-1821902.350955902,-5428745.808412027,4114887.5299964026,-2636.48643669452,-3681.5501561130077,-6004.181300139971
0.026361813259495444,-1821956.034171014,-5428820.770169409,4114765.2730082446,-2636.444262147293,-3681.4244890573646,-6004.276551339147
0.12817087955697265,-1822224.4373646276,-5429195.540573222,4114153.958976737,-2636.2333708361675,-3680.7961279446563,-6004.752764737346
0.6372162110443587,-1823566.1311863184,-5431068.432878891,4111096.661775378,-2635.1784499839446,-3677.6536767501134,-6007.132766614627
3.1659550588717362,-1830223.1729856876,-5440348.506645108,4095891.267295986,-2629.926553903461,-3662.0272825117586,-6018.929354891599
15.809649298008623,-1863307.8493733245,-5486154.31888005,4019419.8956861077,-2603.382081229555,-3583.5012680926393,-6077.252053701753
25.44445120442811,-1888292.1689559417,-5520390.581713782,3960655.737303036,-2582.837817677093,-3523.2279541365015,-6120.9520203295715
70.23049830034924,-2001771.2498728232,-5671830.5504518235,3682112.715817884,-2483.8118721651117,-3238.3171908260574,-6315.50778354665
91.62093450891213,-2054376.0655272387,-5739619.061510094,3546075.7185571576,-2434.5119458573167,-3099.6181610624217,-6403.361930977441
198.57311555172657,-2300854.308330171,-6033157.670257859,2839687.521078678,-2169.650143503425,-2383.658790328781,-6791.715883086193
230.4052012008073,-2368581.873497576,-6105549.079473933,2621900.8287033085,-2085.24592021305,-2164.240788234709,-6890.439112332655
389.565629446211,-2664907.801783341,-6360785.2171730725,1492855.225709945,-1629.5041021604297,-1035.5089175699077,-7263.014304139822
424.510258323406,-2719991.3700619712,-6392556.890372629,1238076.5376049026,-1522.7551952554666,-782.6897644295905,-7317.151788454807
458.1365127098387,-2769440.889155932,-6414771.208493326,991286.8515709867,-1418.0591104928262,-538.424542178524,-7359.671017575879
626.2677846420024,-2962326.1375068873,-6402288.361160227,-255349.2380412575,-870.3474830904693,686.3438259293171,-7430.012347345602
666.440850028493,-2994571.8076840797,-6368871.164984553,-553511.203230629,-734.7500825431063,977.0549480014661,-7411.600402172288
692.2028587268372,-3012372.336694753,-6341309.197493835,-744216.9118169502,-647.0860207062933,1162.5446292572963,-7392.661690801288
821.0129022185587,-3067202.5279960763,-6132540.081159284,-1686504.8528365288,-202.95832037455875,2073.791907821478,-7215.0981893477265
847.8071763524163,-3071393.5109336115,-6074489.814221108,-1879116.6496670728,-109.84906226927956,2258.9462347155068,-7161.01546006293
981.7785470217041,-3054916.707852283,-5711284.379357582,-2816189.109963483,355.36496570014606,3153.925660369634,-6804.474314000869
1024.3757801852369,-3036649.2094255313,-5571120.619186513,-3103051.613047382,502.1691147651653,3425.8268933105123,-6661.823325550722
1237.3619460029004,-2853043.4906602064,-4705390.185159461,-4430569.987510737,1214.480420624217,4668.696476831385,-5750.7138736150655
1298.416106547358,-2772937.7476767176,-4410637.071005631,-4772097.374953609,1408.6808933872928,4983.368278999407,-5433.051969865695
1364.3971503460718,-2673248.603090355,-4071252.3172934763,-5118546.550692968,1611.8259473110948,5299.746513852486,-5064.127267193255
1428.4742100109124,-2563848.0983647155,-3722481.4181794883,-5430920.1178319035,1801.5040355845172,5582.021473189203,-4682.045236719552
1488.1315972655577,-2451293.742234893,-3382213.5374092623,-5699135.360656049,1970.587173710374,5821.553007510266,-4306.800960240918
1543.2174848405296,-2338603.4601747114,-3055915.2676748657,-5926477.239831867,2119.68130323477,6021.951364913912,-3944.933137930806
1594.261624772297,-2227018.1981797414,-2744184.236714832,-6119023.958786264,2251.353634698114,6189.22602819645,-3597.5415297336776
1641.7977900877668,-2117201.1327051045,-2446595.49884618,-6282156.120855541,2368.021343529799,6328.6288653003185,-3264.4973599841655
1686.1973975369744,-2009743.9810774217,-2162987.491993348,-6420051.190710999,2471.5349851095925,6444.248233899629,-2945.8957049014207
1727.6670808953634,-1905331.5947243404,-1893732.4558820333,-6535942.068420643,2563.250452269913,6539.2819026092675,-2642.3856282526995
1766.283258508168,-1804771.921656009,-1639686.5160927586,-6632448.183771006,2644.181366851157,6616.358683265411,-2355.134923537353
1802.0208374324327,-1708996.278332244,-1402108.0742315804,-6711810.998338859,2715.114491456572,6677.763981969657,-2085.751751206847
1980.7087320537562,-1196021.1546722106,-190822.3042133469,-6961592.731542194,3009.1990825839616,6839.019626962498,-701.5418080076452
2013.406448975746,-1096924.763950085,32868.2424060069,-6980322.934664399,3051.555606672413,6841.937410427772,-443.999199116563
2176.895033585695,-584015.3679088578,1145329.8326033251,-6947406.341311851,3207.2105077705073,6732.829637165773,845.7265560217675
2225.4768640372763,-427493.7268234282,1470750.3960338042,-6897073.746186886,3234.986393652344,6660.992087853032,1225.894973905252
2468.3860162951846,363785.6418839572,3022054.1249591634,-6373827.033797415,3243.770802061029,6040.538111232808,3058.5138360436085
2535.845347287033,581484.5907435839,3421420.0371368597,-6151279.999825088,3207.6864711399758,5794.569486746179,3536.636818568437
2605.9123648983154,804415.2619049682,3817553.8791497126,-5886630.578139182,3152.7203778980274,5507.466379176925,4014.067634915566
2672.9488834079943,1013538.6657504258,4176737.8989253254,-5602805.368918147,3083.720582594995,5204.046877117451,4450.142224190867
2735.6651074924653,1204538.6298067283,4493577.703750758,-5311446.173252782,3004.9420009350424,4896.107382397192,4837.777396928481
2794.374753981501,1378492.8589488887,4772072.325130039,-5017243.888178097,2919.04277290665,4587.976856545479,5181.258568486811
2849.724415299987,1537576.2687973538,5017590.624804379,-4721925.7350644395,2827.5972413342956,4280.981466565779,5486.669791717457
2902.281414264155,1683703.3057259014,5234618.986798645,-4426325.96538949,2731.6552743076086,3975.6319553603785,5759.13864787833
2952.4412659287123,1818257.669542652,5426479.915141296,-4131276.4204290416,2632.0880282804783,3672.5173959186877,6002.446420998849
3000.43174918744,1942144.8455319763,5595566.917735038,-3837949.6449410226,2529.7737627309803,3372.626141901987,6219.2751287644705
3046.3405530017485,2055917.2795405672,5743653.695237077,-3547958.8383368794,2425.6888791734214,3077.4229384770374,6411.558131247935
3090.145443128471,2159899.0600980744,5872162.221427937,-3263343.1331128003,2320.942589508355,2788.8162020173095,6580.791505258683
3131.7427556724265,2254292.9755780767,5982369.267517858,-2986487.1719961585,2216.773438816731,2509.0649068300118,6728.278965866735
3170.975218620243,2339268.958352286,6075554.304721759,-2719989.592723041,2114.514484770838,2240.639180433146,6855.312639119573
3207.661375711978,2415036.3635982294,6153094.546292125,-2466481.5593977924,2015.528489441721,1986.035295320849,6963.296226325559
3241.6273096176665,2481899.628037233,6216508.993268193,-2228403.535765934,1921.1169768258944,1747.5529694557085,7053.812082963942
3411.456979146109,2765851.605111599,6410154.6149592865,-1000593.7014034335,1413.636784052696,526.5070800081248,7366.050066004009
3442.5679613853786,2808302.371177321,6423007.145919622,-770920.4776162202,1315.0995890324932,299.6487001399221,7397.365921314973
3598.1228725817273,2973403.022678787,6381274.974029657,385085.6069332501,802.6969459388997,-835.1239146729322,7431.547065439936
3642.482642659259,3005670.422038851,6337103.241491742,714193.5155781058,651.8309528832979,-1156.0382120244547,7403.809394263557
3677.978139549292,3026648.216559263,6291537.979892987,976420.8707884408,530.0219687826411,-1411.0449093193317,7369.671129009495
3705.391041816348,3039881.7908386313,6250173.223393271,1177998.7686326373,435.40691574179004,-1606.648414329644,7336.070219820903
3724.9648873157967,3047741.1343862615,6217364.8254370615,1321326.6630341795,367.60832037152926,-1745.5008906146381,7308.234905814799
3822.834114813039,3067055.9485043176,6012985.70948787,2028083.350721405,26.715062291813865,-2427.328598607194,7121.506163215967
3837.114336797182,3067081.4061645656,5977626.270678333,2129540.684124371,-23.150190909149273,-2524.801943276446,7087.708252567165
3908.5154467178986,3056532.2619820107,5780185.514995531,2628943.4915887373,-272.208609488046,-3003.0130160629515,6894.171109203806
3942.748881356865,3045176.112303068,5673547.885514092,2863147.8862333884,-391.17395375657696,-3226.3270500640556,6787.091395083558
4081.169025807947,2958052.8222523937,5166775.401381733,3768013.111383708,-865.397968629813,-4082.6542217237384,6263.25751802123
4135.301672492666,2906294.7191399634,4937268.592918943,4100581.1723220143,-1046.34438827564,-4394.417781386923,6020.4690379408075
4364.854006657643,2581644.1556724175,3791034.3474082313,5346248.348455349,-1768.0995776244786,-5542.327023886981,4778.0318979526455
4434.958785250789,2450576.0008584014,3392234.184303206,5665922.505329027,-1969.3651405520563,-5829.624418009915,4337.595445714296
4496.150928732478,2324920.8807611666,3028519.4900850398,5919065.407919138,-2136.0790461229026,-6053.7745957950665,3933.16007308212
4548.62728759992,2209235.4192892583,2706250.485353832,6116061.44056121,-2271.8186249943383,-6225.4570418721205,3572.8629056820296
4596.012056072296,2098803.1352535244,2407919.561499643,6277457.656583536,-2388.275003578118,-6363.705016756732,3237.836960690417
4639.915448199949,1991681.1616111198,2125986.8968368093,6412657.361824871,-2490.726255040061,-6477.262310915477,2919.9972506635595
4680.863884367196,1887817.7605878671,1858804.6847531428,6526056.38912447,-2581.352561088648,-6570.348279449514,2617.744838019841
4718.982132189669,1787883.9305625896,1606883.3725526675,6620404.73701686,-2661.282235312211,-6645.711118112628,2331.8695264882526
4754.233025620818,1692826.440760272,1371532.6618781404,6697893.910817292,-2731.276643573539,-6705.6047764883115,2064.048793129052
4930.487492776564,1184358.1032494344,172377.31733653974,6941216.712061908,-3021.374792268648,-6861.274818173383,688.8629264490537
4962.664484732509,1086459.2216983917,-48456.190395065816,6959279.687225845,-3063.049902475205,-6863.549105179054,433.7545430139344
5123.54944451223,580084.5584183685,-1146559.993080413,6926254.063898221,-3216.316117365525,-6753.654289740204,-843.2304758863011
5169.7088633157055,430976.8872500943,-1456786.081510805,6878935.086434646,-3242.927780933184,-6685.133199186117,-1206.5892858360628
5400.505957333082,-322949.5738423569,-2940128.095710151,6395482.308821565,-3257.220180851733,-6103.908266608553,-2961.402513353645
5464.974335076057,-532007.3512818888,-3326368.908189359,6189581.227209842,-3225.8133038435685,-5873.706586634461,-3423.720085646413
5534.298702773012,-753975.5249777732,-3724089.0008489043,5935518.355522585,-3175.0240393411827,-5595.250732166693,-3902.5991694116583
5601.925534904788,-966543.7574446504,-4092457.5040292633,5656379.208715416,-3108.756607802892,-5294.187949806055,-4349.075195589562
5665.60250902583,-1162117.998487262,-4419875.160842989,5366607.4542863,-3031.583172505377,-4985.577347174976,-4748.709578223485
5725.2462130612885,-1340459.3723058936,-4708089.407213376,5072708.726749353,-2946.627785517558,-4675.708342452796,-5103.09628292679
5781.407000851889,-1503441.0761943976,-4962079.296162113,4777187.622162802,-2855.7509260156285,-4366.697607736083,-5417.851005632033
5834.661564835775,-1653016.918497249,-5186499.907230101,4481114.567396056,-2760.1337125613545,-4059.2707641815555,-5698.309696404516
5885.441698160562,-1790685.5256931102,-5384927.519438588,4185326.94196434,-2660.689933348075,-3753.9994332549268,-5948.571263475981
5934.012410809786,-1917458.6992780298,-5559961.170385163,3890918.6698704446,-2558.2963723721573,-3451.776302158898,-6171.5825266265465
5980.492328176382,-2033965.8887061095,-5713509.295966551,3599405.5338916355,-2453.9090172540987,-3153.9575088094603,-6369.459831102955
6024.882570026196,-2140578.2245766884,-5847066.814498192,3312740.3217125945,-2348.6119053267003,-2862.3577812915482,-6543.809613058676
6067.0953594498815,-2237520.0142224287,-5961937.0362523645,3033248.615491531,-2243.6227555368678,-2579.171390977853,-6695.9902079842195
6106.981968769715,-2324962.3214074005,-6059394.782028393,2763508.627941236,-2140.265132206049,-2306.842278978897,-6827.3091642096015
6144.361990047,-2403100.102111104,-6140795.323159856,2506179.057896206,-2039.909612722734,-2047.8869818873052,-6939.161192770981
6179.054970538242,-2472212.814072629,-6207631.264673477,2263781.5604583286,-1943.88719150874,-1804.676719342347,-7033.108817977739
6352.5198729944495,-2765403.2914945576,-6413214.039533528,1012172.7008209005,-1426.968216939209,-559.0731041593372,-7356.4458133803155
6384.377840342417,-2809263.4904487906,-6427330.987609252,777273.7781990776,-1326.254248815167,-327.0910804799523,-7388.774730419876
6543.667677082254,-2979203.555389368,-6386963.9873767635,-405201.7455202965,-802.4201064995627,832.5586468559986,-7422.4601865410605
6588.079133794977,-3011498.740765159,-6342867.476980951,-734268.590412939,-651.677221967808,1152.8770376150044,-7393.788203679217
6623.529118070907,-3032451.9416022683,-6297493.518610951,-995793.5095168825,-530.3134332310432,1406.6981694308038,-7359.048339185157
6650.715128424725,-3045597.922343703,-6256620.7723142225,-1195412.0135870704,-436.73471107994396,1599.983537767949,-7325.312217475181
6669.33912867041,-3053132.998756077,-6225595.863742233,-1331594.9267263955,-372.41887195809295,1731.618182717808,-7298.662992827841
6762.459129898835,-3072780.1711886,-6034074.454869213,-2003603.3738398706,-49.233311455698185,2378.4039630774155,-7122.709910722677
6778.512895975008,-3073122.325660844,-5995013.857088546,-2117651.8931592414,6.607645057803495,2487.698866931497,-7085.264675596987
6858.781726355873,-3061394.939469237,-5773727.5165185025,-2677970.7484441437,285.40232791336234,3022.5519610285287,-6867.319989713746
6906.577545294089,-3043804.2744118725,-5621864.39725069,-3002598.463858361,450.50954953103064,3330.731113751724,-6713.6966198294
7049.915698197949,-2944179.4447333016,-5081092.835595502,-3926383.1638158923,936.824510180576,4199.975763804453,-6150.965357178275
7122.338139768563,-2867673.832573184,-4762162.269860561,-4359774.5095217675,1174.8825598892126,4603.1634607719025,-5811.558667701742
7200.0,-2766763.742143984,-4388853.408930672,-4795744.544401292,1422.336336497944,5005.058969603097,-5409.466590919885
